"","Overall Rank","Movie","Running Time","Total Gross","Release Date","Distributor","Opening","MPAA","ReleaseDate_2","Genre","Tickets Sold","Budget","Date","Weekly","Theaters","To Date","Week"
"1",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Jul 21-27","$258,402,851","4,243","$258,402,851",1
"2",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Jul 28-Aug 3","$147,978,562","4,337","$406,381,413",2
"3",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Aug 4-10","$86,227,481","4,178","$492,608,894",3
"4",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Aug 11-17","$53,173,971","4,178","$545,782,865",4
"5",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Aug 18-24","$31,918,377","4,003","$577,701,242",5
"6",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Aug 25-31","$21,183,012","3,736","$598,884,254",6
"7",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Sep 1-7","$15,692,603","3,586","$614,576,857",7
"8",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Sep 8-14","$7,580,286","3,281","$622,157,143",8
"9",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Sep 15-21","$5,092,944","3,012","$627,250,087",9
"10",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Sep 22-28","$4,402,216","2,634","$631,652,303",10
"11",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Sep 29-Oct 5","$1,875,248","1,302","$633,527,551",11
"12",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Oct 6-12","$1,159,424","808","$634,686,975",12
"13",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Oct 13-19","$733,056","672","$635,420,031",13
"14",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Oct 20-26","$360,611","417","$635,780,642",14
"15",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Oct 27-Nov 2","$147,578","208","$635,928,220",15
"16",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Nov 3-9","$131,368","151","$636,059,588",16
"17",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Nov 10-16","$81,366","92","$636,140,954",17
"18",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Nov 17-23","$33,563","58","$636,174,517",18
"19",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Nov 24-30","$18,644","36","$636,193,161",19
"20",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Dec 1-7","$10,956","31","$636,204,117",20
"21",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Dec 8-14","$5,939","26","$636,210,056",21
"22",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Dec 15-21","$10,397","19","$636,220,453",22
"23",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Dec 22-28","$3,570","16","$636,224,023",23
"24",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Dec 29-Jan 4, 2024","$3,999","16","$636,228,022",24
"25",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Jan 5-11","$5,095","13","$636,233,117",25
"26",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Jan 12-18","$3,284","26","$636,236,401",26
"27",1,"Barbie","1 hr 54 min","$636,238,421","2023-07-21","Warner Bros.","$162,022,044","PG-13","Jul 21, 2023","Comedy","59,019,108","$151,000,000","Jan 19-25","$2,020","14","$636,238,421",27
"28",2,"The Super Mario Bros. Movie","1 hr 32 min","$574,934,330","2023-04-05","Universal Pictures","$146,361,865","PG","Apr 5, 2023","Action","53,333,425","$100,000,000","Mar 31-Apr 6","$58,268,865","4,025","$58,268,865",1
"29",2,"The Super Mario Bros. Movie","1 hr 32 min","$574,934,330","2023-04-05","Universal Pictures","$146,361,865","PG","Apr 5, 2023","Action","53,333,425","$100,000,000","Apr 7-13","$202,554,835","4,343","$260,823,700",2
"30",2,"The Super Mario Bros. Movie","1 hr 32 min","$574,934,330","2023-04-05","Universal Pictures","$146,361,865","PG","Apr 5, 2023","Action","53,333,425","$100,000,000","Apr 14-20","$115,275,910","4,371","$376,099,610",3
